case_name,area,num_rooms,num_paths,avg_path_length,mode_path_length,len_shortest_path,degree_dom_node
24402,114.39203400000001,11.0,4.0,5.0,5.0,5.0,2.0
49611,85.784356,9.0,12.0,5.0,5.0,3.0,2.0
23708,67.84920600000001,7.0,5.0,5.2,5.0,5.0,1.0
108689,81.28532699999998,8.0,2.0,3.0,3.0,3.0,1.0
109558,97.592996,9.0,6.0,4.833333333333333,5.0,4.0,3.0
36235,99.04903199999997,8.0,6.0,4.0,5.0,3.0,3.0
14590,113.218554,10.0,6.0,4.333333333333333,5.0,3.0,1.0
50777,59.536958000000006,8.0,4.0,5.0,5.0,5.0,2.0
24064,94.94289500000001,10.0,5.0,5.2,5.0,5.0,1.0
21728,85.31339200000001,14.0,6.0,4.333333333333333,5.0,3.0,1.0
10677,87.43767299999999,11.0,11.0,5.181818181818182,6.0,3.0,1.0
136943,78.208669,8.0,6.0,6.0,6.0,5.0,1.0
99512,86.87766599999999,8.0,2.0,5.0,5.0,5.0,2.0
67846,50.618596000000004,5.0,3.0,3.6666666666666665,4.0,3.0,1.0
31485,57.304719,9.0,3.0,5.333333333333333,5.0,5.0,1.0
73704,90.42112399999999,8.0,6.0,5.333333333333333,5.0,5.0,1.0
147980,97.95627499999999,13.0,10.0,5.7,6.0,5.0,2.0
32102,80.70726,8.0,4.0,4.25,5.0,3.0,1.0
26668,76.66084500000001,7.0,5.0,5.2,5.0,5.0,1.0
71444,65.218389,6.0,2.0,5.0,5.0,5.0,2.0
53733,112.905606,9.0,10.0,5.5,5.0,5.0,1.0
60097,58.204083,6.0,3.0,5.0,5.0,5.0,3.0
51407,97.02479100000001,10.0,2.0,4.0,3.0,3.0,2.0
67408,125.69506700000001,9.0,6.0,6.333333333333333,7.0,5.0,1.0
12538,89.27501099999999,9.0,5.0,5.0,6.0,3.0,1.0
15935,74.499093,7.0,10.0,5.0,5.0,4.0,2.0
108808,111.01057399999999,12.0,1.0,6.0,6.0,6.0,1.0
57251,128.369606,10.0,12.0,5.083333333333333,5.0,3.0,1.0
21191,114.10027999999998,9.0,13.0,4.538461538461538,5.0,3.0,3.0
33346,40.02597,4.0,1.0,5.0,5.0,5.0,1.0
19168,84.041757,10.0,1.0,5.0,5.0,5.0,1.0
27223,94.923469,8.0,8.0,5.25,5.0,4.0,1.0
